::1 - - [15/Mar/2026 05:34:54] "GET /ui-filter-bindings-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:34:54] "GET /smitte-listeners-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:34:54] "GET /core-load-bindings-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:34:54] "GET /vessel-risk-filters-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:34:54] "GET /predictions-zone-filters-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:34:54] "GET /vessel-search-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:34:54] "GET /b-surveys-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:34:54] "GET /lice-overview-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:34:54] "GET /dom-init-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:34:54] "GET /help-guide.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:34:54] "GET /auto-load-manager.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:34:54] "GET /app.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:34:54] "GET /shared-glossary.json HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:34:54] "GET /favicon.svg HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:36:55] "GET / HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:36:55] "GET /styles.css HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:36:55] "GET /help-guide.css HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:36:55] "GET /predictions-utils.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:36:55] "GET /predictions-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:36:55] "GET /lice-predictions-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:36:55] "GET /vessel-risk-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:36:55] "GET /audit-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:36:55] "GET /vessel-ops-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:36:55] "GET /smittespredning-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:36:55] "GET /facility-risk-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:36:55] "GET /correlation-network-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:36:55] "GET /admin-panel-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:36:55] "GET /overview-risk-module.js HTTP/1.1" 200 -
