time,depth,latitude,longitude,so,thetao,vo,zos,uo
2026-01-29 23:00:00,0.494025,57.0,12.7500105,,,,,
2026-01-29 23:00:00,0.494025,57.0,12.833344,,,,,
2026-01-29 23:00:00,0.494025,57.0,12.916677,,,,,
2026-01-29 23:00:00,0.494025,57.0,13.0000105,,,,,
2026-01-29 23:00:00,0.494025,57.0,13.083344,,,,,
2026-01-29 23:00:00,0.494025,57.0,13.166677,,,,,
2026-01-29 23:00:00,0.494025,57.0,13.2500105,,,,,
2026-01-29 23:00:00,0.494025,57.0,13.333344,,,,,
2026-01-29 23:00:00,0.494025,57.0,13.416677,,,,,
2026-01-29 23:00:00,0.494025,57.0,13.5000105,,,,,
2026-01-29 23:00:00,0.494025,57.0,13.583344,,,,,
2026-01-29 23:00:00,0.494025,57.0,13.666677,,,,,
2026-01-29 23:00:00,0.494025,57.0,13.7500105,,,,,
2026-01-29 23:00:00,0.494025,57.0,13.833344,,,,,
2026-01-29 23:00:00,0.494025,57.0,13.916677,,,,,
2026-01-29 23:00:00,0.494025,57.0,14.0000105,,,,,
2026-01-29 23:00:00,0.494025,57.0,14.083344,,,,,
2026-01-29 23:00:00,0.494025,57.0,14.166677,,,,,
2026-01-29 23:00:00,0.494025,57.0,14.250011,,,,,
2026-01-29 23:00:00,0.494025,57.0,14.333344,,,,,
2026-01-29 23:00:00,0.494025,57.0,14.416677,,,,,
2026-01-29 23:00:00,0.494025,57.0,14.500011,,,,,
2026-01-29 23:00:00,0.494025,57.0,14.583344,,,,,
2026-01-29 23:00:00,0.494025,57.0,14.666677,,,,,
2026-01-29 23:00:00,0.494025,57.0,14.750011,,,,,
2026-01-29 23:00:00,0.494025,57.0,14.833344,,,,,
2026-01-29 23:00:00,0.494025,57.0,14.916677,,,,,
2026-01-29 23:00:00,0.494025,57.0,15.000011,,,,,
2026-01-29 23:00:00,0.494025,57.0,15.083344,,,,,
2026-01-29 23:00:00,0.494025,57.0,15.166677,,,,,
2026-01-29 23:00:00,0.494025,57.0,15.250011,,,,,
2026-01-29 23:00:00,0.494025,57.0,15.333344,,,,,
2026-01-29 23:00:00,0.494025,57.0,15.416677,,,,,
2026-01-29 23:00:00,0.494025,57.0,15.500011,,,,,
2026-01-29 23:00:00,0.494025,57.0,15.583344,,,,,
2026-01-29 23:00:00,0.494025,57.0,15.666677,,,,,
2026-01-29 23:00:00,0.494025,57.0,15.750011,,,,,
2026-01-29 23:00:00,0.494025,57.0,15.833344,,,,,
2026-01-29 23:00:00,0.494025,57.0,15.916677,,,,,
2026-01-29 23:00:00,0.494025,57.0,16.000011,,,,,
2026-01-29 23:00:00,0.494025,57.0,16.083344,,,,,
2026-01-29 23:00:00,0.494025,57.0,16.166677,,,,,
2026-01-29 23:00:00,0.494025,57.0,16.250011,,,,,
2026-01-29 23:00:00,0.494025,57.0,16.333344,,,,,
2026-01-29 23:00:00,0.494025,57.0,16.416677,6.821301,-0.36768246,-0.06984395,-0.15824619,-0.005739495
2026-01-29 23:00:00,0.494025,57.0,16.500011,6.8884363,-0.31517744,-0.09524096,-0.16029835,-0.020490233
2026-01-29 23:00:00,0.494025,57.0,16.583344,6.963565,-0.09700374,-0.11876191,-0.1639517,-0.04271225
2026-01-29 23:00:00,0.494025,57.0,16.666677,6.950224,0.19766726,-0.098718524,-0.16768344,-0.03187559
2026-01-29 23:00:00,0.494025,57.0,16.750011,6.9474444,0.4185566,-0.08297263,-0.17292301,-0.019065099
2026-01-29 23:00:00,0.494025,57.0,16.833345,,,,,
2026-01-29 23:00:00,0.494025,57.0,16.916677,7.1852403,1.2598006,-0.16809314,-0.21620975,-0.057495195
2026-01-29 23:00:00,0.494025,57.0,17.000011,7.168579,2.240539,-0.16659486,-0.22221437,-0.07981099
2026-01-29 23:00:00,0.494025,57.0,17.083345,7.148916,2.6968386,-0.21135494,-0.23030296,-0.053857964
2026-01-29 23:00:00,0.494025,57.0,17.166677,7.1565104,3.0741124,-0.2153554,-0.24088517,-0.07663527
2026-01-29 23:00:00,0.494025,57.0,17.250011,7.183025,3.3977108,-0.18592599,-0.25030646,-0.08214981
2026-01-29 23:00:00,0.494025,57.0,17.333345,7.2089653,3.6171217,-0.14422765,-0.2582579,-0.051556163
2026-01-29 23:00:00,0.494025,57.0,17.416677,7.225313,3.7708764,-0.08086652,-0.26447806,-0.0048126876
2026-01-29 23:00:00,0.494025,57.0,17.500011,7.245133,3.9103246,0.0042388216,-0.26742536,0.03357956
2026-01-29 23:00:00,0.494025,57.0,17.583345,7.2491226,3.9675078,0.0126423575,-0.26717687,0.04722294
2026-01-29 23:00:00,0.494025,57.0,17.666677,7.2496943,4.0094843,-0.0058992254,-0.26764762,0.05437169
2026-01-29 23:00:00,0.494025,57.0,17.750011,7.251879,3.9628778,-0.022480752,-0.26893055,0.053840764
2026-01-29 23:00:00,0.494025,57.0,17.833345,7.266578,3.7484117,-0.037296135,-0.2710554,0.035394255
2026-01-29 23:00:00,0.494025,57.0,17.916677,7.2746563,3.4018738,-0.034016643,-0.27408168,0.0055572307
2026-01-29 23:00:00,0.494025,57.0,18.000011,7.2547555,2.938429,-0.002806332,-0.27588105,-0.00066231936
2026-01-29 23:00:00,0.494025,57.0,18.083345,7.215118,2.3766086,0.012611281,-0.27632278,0.005933122
2026-01-29 23:00:00,0.494025,57.0,18.166677,7.1673284,1.7640643,-0.02472855,-0.27676582,0.07050582
2026-01-29 23:00:00,0.494025,57.0,18.250011,,,,,
2026-01-29 23:00:00,0.494025,57.0,18.333345,,,,,
2026-01-29 23:00:00,0.494025,57.0,18.416677,7.1048408,2.2153494,-0.07487415,-0.289125,0.026520181
2026-01-29 23:00:00,0.494025,57.0,18.500011,7.137426,2.9970617,-0.05595948,-0.2915308,-0.010261738
2026-01-29 23:00:00,0.494025,57.0,18.583345,7.182167,3.5777493,-0.032644197,-0.29318702,-0.023798473
2026-01-29 23:00:00,0.494025,57.0,18.666677,7.225554,3.9640067,-0.036851935,-0.29480025,-0.021683082
2026-01-29 23:00:00,0.494025,57.0,18.750011,7.2645864,4.2226253,-0.06877775,-0.29751557,-0.02701585
2026-01-29 23:00:00,0.494025,57.0,18.833345,7.3101344,4.384589,-0.101770446,-0.30206808,-0.054817483
2026-01-29 23:00:00,0.494025,57.0,18.916677,7.375515,4.4634595,-0.10358112,-0.30781534,-0.05882579
2026-01-29 23:00:00,0.494025,57.0,19.000011,7.4638495,4.4012337,-0.107469074,-0.31410742,-0.05992942
2026-01-29 23:00:00,0.494025,57.0,19.083345,7.5454116,4.3580484,-0.087795414,-0.32019326,-0.06333707
2026-01-29 23:00:00,0.494025,57.0,19.166677,7.56646,4.348033,-0.07357605,-0.32472712,-0.07624757
2026-01-29 23:00:00,0.494025,57.0,19.250011,7.563187,4.316365,-0.07157255,-0.3289003,-0.08097742
2026-01-29 23:00:00,0.494025,57.0,19.333345,7.5571504,4.2903647,-0.06979737,-0.3327082,-0.0782732
2026-01-29 23:00:00,0.494025,57.0,19.416677,7.552696,4.2836003,-0.05666638,-0.33594626,-0.0632911
2026-01-29 23:00:00,0.494025,57.0,19.500011,7.541063,4.2884984,-0.045944523,-0.3384639,-0.04023896
2026-01-29 23:00:00,0.494025,57.0,19.583345,7.532192,4.3113933,-0.039926764,-0.34017274,-0.02630325
2026-01-29 23:00:00,0.494025,57.0,19.666677,7.5209694,4.336523,-0.029017007,-0.3412796,-0.012446877
2026-01-29 23:00:00,0.494025,57.0,19.750011,7.508555,4.379356,-0.024283009,-0.34148824,-0.005970909
2026-01-29 23:00:00,0.494025,57.0,19.833345,7.5061803,4.3992343,-0.018613085,-0.3414572,-0.0069895927
2026-01-29 23:00:00,0.494025,57.0,19.916677,7.5137243,4.399079,-0.0051129027,-0.34075713,-0.0077461107
2026-01-29 23:00:00,0.494025,57.0,20.000011,7.5180726,4.390438,0.031497966,-0.33818758,0.0013418477
2026-01-29 23:00:00,0.494025,57.0,20.083345,7.5193,4.375547,0.06775715,-0.33357346,0.011652303
2026-01-29 23:00:00,0.494025,57.0,20.166677,7.521965,4.3635054,0.083955236,-0.32736325,0.032877143
2026-01-29 23:00:00,0.494025,57.0,20.250011,7.533754,4.349318,0.08358361,-0.32042134,0.04414043
2026-01-29 23:00:00,0.494025,57.0,20.333345,7.552354,4.329827,0.07599904,-0.3136182,0.054317795
2026-01-29 23:00:00,0.494025,57.0,20.416677,7.5573997,4.247436,0.06622912,-0.30671832,0.05278336
2026-01-29 23:00:00,0.494025,57.0,20.500011,7.5466704,4.090988,0.04716599,-0.29991442,0.05255982
2026-01-29 23:00:00,0.494025,57.0,20.583345,7.47287,3.7417047,0.030566238,-0.29433182,0.035011094
2026-01-29 23:00:00,0.494025,57.0,20.666677,7.371326,3.178712,0.06590362,-0.2881581,0.007331036
2026-01-29 23:00:00,0.494025,57.0,20.750011,7.2882905,2.5773106,0.08024636,-0.28064042,0.002328135
2026-01-29 23:00:00,0.494025,57.0,20.833345,7.2315655,2.0617263,0.06858491,-0.2729676,-0.009441949
2026-01-29 23:00:00,0.494025,57.0,20.916677,7.195115,1.6386987,0.01560981,-0.26720586,0.009857224
2026-01-29 23:00:00,0.494025,57.0,21.000011,7.168585,1.201084,-0.02065606,-0.26375517,0.009290753
2026-01-29 23:00:00,0.494025,57.0,21.083345,7.131579,0.7286105,-0.024943974,-0.26120302,0.016590677
2026-01-29 23:00:00,0.494025,57.0,21.166677,7.0924077,0.16304651,-0.027788658,-0.25842652,0.015389478
2026-01-29 23:00:00,0.494025,57.0,21.250011,7.076679,-0.2496559,-0.027593937,-0.2564885,0.01110654
2026-01-29 23:00:00,0.494025,57.0,21.333345,7.081803,-0.36935386,-0.024378654,-0.25541466,0.008757613
2026-01-29 23:00:00,0.494025,57.0,21.416677,,,,,
2026-01-29 23:00:00,0.494025,57.0,21.500011,,,,,
2026-01-29 23:00:00,0.494025,57.0,21.583345,,,,,
2026-01-29 23:00:00,0.494025,57.0,21.666677,,,,,
2026-01-29 23:00:00,0.494025,57.0,21.750011,,,,,
2026-01-29 23:00:00,0.494025,57.0,21.833345,,,,,
2026-01-29 23:00:00,0.494025,57.0,21.916677,,,,,
2026-01-29 23:00:00,0.494025,57.0,22.000011,,,,,
2026-01-29 23:00:00,0.494025,57.0,22.083345,,,,,
2026-01-29 23:00:00,0.494025,57.0,22.166677,,,,,
2026-01-29 23:00:00,0.494025,57.0,22.250011,,,,,
2026-01-29 23:00:00,0.494025,57.0,22.333345,,,,,
2026-01-29 23:00:00,0.494025,57.0,22.416677,,,,,
2026-01-29 23:00:00,0.494025,57.0,22.500011,,,,,
2026-01-29 23:00:00,0.494025,57.0,22.583345,,,,,
2026-01-29 23:00:00,0.494025,57.0,22.666677,,,,,
2026-01-29 23:00:00,0.494025,57.0,22.750011,,,,,
2026-01-29 23:00:00,0.494025,57.0,22.833345,,,,,
2026-01-29 23:00:00,0.494025,57.0,22.916677,,,,,
2026-01-29 23:00:00,0.494025,57.0,23.000011,,,,,
2026-01-29 23:00:00,0.494025,57.0,23.083345,,,,,
2026-01-29 23:00:00,0.494025,57.0,23.166677,,,,,
2026-01-29 23:00:00,0.494025,57.0,23.250011,,,,,
2026-01-29 23:00:00,0.494025,57.0,23.333345,,,,,
2026-01-29 23:00:00,0.494025,57.0,23.416677,,,,,
2026-01-29 23:00:00,0.494025,57.0,23.500011,4.6292033,-0.22896372,-0.010650877,-0.29104713,0.03641169
2026-01-29 23:00:00,0.494025,57.0,23.583345,4.686823,-0.109458104,-0.011084579,-0.28931633,0.021236124
2026-01-29 23:00:00,0.494025,57.0,23.666677,4.7059402,-0.036973145,-0.027137125,-0.28755733,0.027184667
2026-01-29 23:00:00,0.494025,57.0,23.750011,4.6202602,-0.16456787,-0.034209482,-0.28543112,0.030109253
2026-01-29 23:00:00,0.494025,57.0,23.833345,4.5194573,-0.1829346,-0.026413776,-0.2833614,0.030486902
2026-01-29 23:00:00,0.494025,57.0,23.916677,4.369735,-0.22941811,0.008733713,-0.28056857,0.04468403
2026-01-29 23:00:00,0.494025,57.0,24.000011,4.3155994,-0.23168135,-0.0040221848,-0.27742767,0.044120654
2026-01-29 23:00:00,0.494025,57.0,24.083345,,,,,
2026-01-29 23:00:00,0.494025,57.0,24.166677,,,,,
2026-01-29 23:00:00,0.494025,57.0,24.250011,,,,,
2026-01-29 23:00:00,0.494025,57.0,24.333345,,,,,
2026-01-29 23:00:00,0.494025,57.0,24.416677,,,,,
2026-01-29 23:00:00,0.494025,57.0,24.500011,,,,,
2026-01-29 23:00:00,0.494025,57.0,24.583345,,,,,
2026-01-29 23:00:00,0.494025,57.0,24.666677,,,,,
2026-01-29 23:00:00,0.494025,57.0,24.750011,,,,,
2026-01-29 23:00:00,0.494025,57.0,24.833345,,,,,
2026-01-29 23:00:00,0.494025,57.0,24.916677,,,,,
2026-01-29 23:00:00,0.494025,57.0,25.000011,,,,,
2026-01-29 23:00:00,0.494025,57.0,25.083345,,,,,
2026-01-29 23:00:00,0.494025,57.0,25.166677,,,,,
2026-01-29 23:00:00,0.494025,57.0,25.250011,,,,,
2026-01-29 23:00:00,0.494025,57.0,25.333345,,,,,
2026-01-29 23:00:00,0.494025,57.0,25.416677,,,,,
2026-01-29 23:00:00,0.494025,57.0,25.500011,,,,,
2026-01-29 23:00:00,0.494025,57.0,25.583345,,,,,
2026-01-29 23:00:00,0.494025,57.0,25.666677,,,,,
2026-01-29 23:00:00,0.494025,57.0,25.750011,,,,,
2026-01-29 23:00:00,0.494025,57.0,25.833345,,,,,
2026-01-29 23:00:00,0.494025,57.0,25.916677,,,,,
2026-01-29 23:00:00,0.494025,57.0,26.000011,,,,,
2026-01-29 23:00:00,0.494025,57.0,26.083345,,,,,
2026-01-29 23:00:00,0.494025,57.0,26.166677,,,,,
2026-01-29 23:00:00,0.494025,57.0,26.250011,,,,,
2026-01-29 23:00:00,0.494025,57.0,26.333345,,,,,
2026-01-29 23:00:00,0.494025,57.0,26.416677,,,,,
2026-01-29 23:00:00,0.494025,57.0,26.500011,,,,,
